"","_1979","_1980","_1981","_1982","_1983","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_2009","_2010","_2011","_2012","_2013","_2014","COMID"
"595",26.4939366967711,19.5301388485791,17.6824491082805,25.949539316517,32.7778518043152,31.5218449233329,18.3037033159439,24.7506461796695,26.112501390013,21.8083641313527,29.162968259315,30.383075576939,26.2618104359875,25.2524029574982,26.1112039611764,27.3481969794182,23.3590585604106,38.3602472605771,25.2382240073322,24.1741144428514,22.9287770310493,27.3046547772133,20.2904714127109,18.0935865088685,31.3585143964585,24.42395873527,30.0599501995191,28.902991379777,23.4226680102414,35.1766977022772,29.9028261093244,26.396417686384,38.5032118549086,21.1366074235472,24.2684919200531,38.2675457000732,73003728
"596",25.3525873197268,18.6150051136539,16.83004287367,24.7524711047133,31.4365759973657,30.110663393099,17.425598882649,23.6198468743938,24.9081305725934,20.7082685470581,27.8649479918284,29.0617282266486,25.0067653812774,24.0728926723951,24.9187521810401,26.1034083039793,22.2367835116713,36.8353749209887,24.0441426251033,23.0089842267232,21.8763563136532,26.1000633213618,19.3260107190642,17.2118487149069,30.0211909215744,23.2745862843239,28.7081493384218,27.6712171881166,22.2995003243015,33.6661124947953,28.5795509808684,25.1994729629935,36.9379962202621,20.132788875005,23.1300539082044,37.2574634552002,73003729
"597",21.0515884686823,15.1176461951373,13.7098739411733,20.2471147530699,26.3258391203946,24.9840342949515,14.3039332899329,19.6979804914292,20.4056557028261,16.9779224082215,22.8835246386593,24.1130897032071,20.5535618501167,19.8133848451588,20.5948047624875,21.3272832746375,18.128335856085,31.1603664920755,19.768829863692,18.5438374414836,17.9746667300185,21.7268073212611,15.8313336104563,14.0920861636123,24.8519030570984,18.8802632534341,23.555657309702,22.5790748615787,18.2258085179002,28.0089659743113,23.6037557562737,20.7953531408963,31.1053154605709,16.4267255639377,19.007674573219,30.9239287906223,73003731
"598",17.8136510470142,12.643981742369,11.4173594536847,16.9671394609425,22.3485435051461,21.2073568834017,11.9172995599982,16.6231723334691,17.1280952982707,14.1117732903729,19.204481886511,20.4115856974092,17.2012283459102,16.580551578574,17.3346693992615,17.8966101424335,15.1421757364926,26.6336835541137,16.6307706062108,15.4860401463835,15.0651612082573,18.379779563538,13.2312821104102,11.7643039592325,20.8702952985894,15.8507483469297,19.857362932375,18.9910567420803,15.2693322263352,23.7314954470282,19.9320577627992,17.5117801016324,26.5189792143155,13.7116643618231,15.9415256147515,26.0503461625841,73003733
"599",16.9113596347913,11.9173072274417,10.731500156285,16.0239061901014,21.2431103337301,20.1193352421669,11.2174013500344,15.713689761619,16.1793410265282,13.2399146863859,18.168846852812,19.3508101822579,16.2059804093348,15.6381408188441,16.3833616524527,16.8955775319713,14.2656129677002,25.3818229381352,15.6981993080818,14.5841357417303,14.2206312300408,17.420090270369,12.4587701774623,11.0738750010321,19.7412625639406,14.9653169315155,18.8025705295066,17.9873914966845,14.3920786086827,22.531120481883,18.8841938985537,16.5596595885002,25.263934119107,12.886001641783,15.0671920404042,24.6883398691813,73003734
"600",13.2596136441786,9.28798999941512,8.23965286130774,12.4362241895231,16.9267071279761,15.9809733467559,8.60443029077086,12.2281765539352,12.5905154969594,10.075931436395,14.1417339847512,15.2625211212733,12.4823485345057,12.1808757814643,12.7887924578908,13.1236348495091,10.980018453892,20.4743528973566,12.2521504973712,11.2498219798689,10.9724822873939,13.6672523576919,9.53849065303802,8.55039489089626,15.3764423298509,11.565432065807,14.746418385473,14.1657413139735,11.1687972111245,17.8017818790593,14.775847540163,13.037621945306,20.2670175790787,9.90952488690206,11.6663769640335,19.9758956697252,73003736
"601",4.9162420903055,3.36407814160602,3.0120685135665,4.61742817163467,6.20299357673893,5.64380479414169,3.25506859446225,4.37910718362625,4.60852797570294,3.70776934697203,5.36305713179993,5.47469381249114,4.57867287838296,4.53925128146394,4.6446934304417,4.75466220876942,4.05723681409065,7.35884697273986,4.35656171310438,4.08294176459312,4.07164615980566,4.95617839489898,3.5002886777463,3.11286026623151,5.77495507165177,4.15836498394404,5.35686294473197,5.21703518024863,3.99730232006883,6.5464411859643,5.38463052625525,4.7217149610797,7.40345775934115,3.54947832324733,4.39106938806299,7.79101228713989,73003738
"602",2.11833526410989,1.4827134912706,1.29745130679787,1.9750022783059,2.72955388745216,2.57292913666939,1.35068630449576,1.94266820827576,1.99675327331236,1.58341904188672,2.2383635296397,2.4515218215446,1.97912203036759,1.94185721923227,2.04765615266276,2.09724786338741,1.73084098802854,3.3311262115632,1.95862956888055,1.79023278802633,1.73855379513682,2.19108941065122,1.50196741072282,1.3412555185287,2.42704529737773,1.84142168699062,2.35188723014642,2.25214823631391,1.7767525875201,2.85677766587636,2.35803952306917,2.08681271729404,3.27860417088417,1.57499315007909,1.84266488298978,3.11532171567281,73003741
"603",0.675149348582307,0.441046281041552,0.435762831732018,0.687615172850759,0.744857649362251,0.736947062274773,0.414717119197323,0.561245631436779,0.563902511804888,0.504143047598127,0.736411808574036,0.704884867839617,0.661215664425941,0.573093915291845,0.615176058305453,0.678525668852133,0.553377868398412,0.846421384423563,0.568215000057874,0.568831547676292,0.546569976792352,0.658930513181099,0.502836459201493,0.426541662236599,0.746670273354609,0.573306998120595,0.783324198557498,0.696075748642013,0.545572016030958,0.887444515750833,0.784852414996657,0.605383149677352,0.924396924164197,0.475014066696167,0.582114134014469,0.827335808012221,73003762
"604",6.28978167266062,4.60200796053834,4.22995217107747,6.89090005339008,7.29256333014736,7.48792133274144,3.60365565917263,5.40016928176357,5.72539784614354,4.62660600812468,7.14702028411708,6.80549208562668,6.2618821540924,5.58253317875405,6.05753038688882,6.42708854071082,5.11450046594829,8.30815481323085,5.70534176785652,5.63619854923797,4.96460422473411,6.05893312121091,4.59949530640694,3.65838599384648,7.11548820685034,5.5957755043082,8.20920515615646,7.20942900523747,5.46418279466564,8.39909284768039,7.63880689764676,6.22047298534276,9.2989022744845,4.6359704370368,5.40797847623694,7.3088268438975,73003780
